n	f(n)
	Fibonacci series
1	0
2	1
3	1
4	2
5	3
6	5
7	8
8	13
9	21
10	34
11	55
12	89
13	144
14	233
15	377
16	610
17	987
18	1597
19	2584
20	4181
21	6765
22	10946
23	17711
24	28657
25	46368
26	75025
27	121393
28	196418
29	317811
30	514229
31	832040
32	1.34627e+06
33	2.17831e+06
34	3.52458e+06
35	5.70289e+06
36	9.22746e+06
37	1.49304e+07
38	2.41578e+07
39	3.90882e+07
40	6.3246e+07
41	1.02334e+08
42	1.6558e+08
43	2.67914e+08
44	4.33494e+08
45	7.01409e+08
46	1.1349e+09
47	1.83631e+09
48	2.97121e+09
49	4.80753e+09
50	7.77874e+09
51	1.25863e+10
52	2.0365e+10
53	3.29513e+10
54	5.33163e+10
55	8.62676e+10
56	1.39584e+11
57	2.25851e+11
58	3.65435e+11
59	5.91287e+11
60	9.56722e+11
61	1.54801e+12
62	2.50473e+12
63	4.05274e+12
64	6.55747e+12
65	1.06102e+13
66	1.71677e+13
67	2.77779e+13
68	4.49456e+13
69	7.27234e+13
70	1.17669e+14
71	1.90392e+14
72	3.08061e+14
73	4.98454e+14
74	8.06515e+14
75	1.30497e+15
76	2.11148e+15
77	3.41645e+15
78	5.52794e+15
79	8.94439e+15
80	1.44723e+16
81	2.34167e+16
82	3.78891e+16
83	6.13058e+16
84	9.91948e+16
85	1.60501e+17
86	2.59695e+17
87	4.20196e+17
88	6.79891e+17
89	1.10009e+18
90	1.77998e+18
91	2.88007e+18
92	4.66004e+18
93	7.54011e+18
94	1.22002e+19
95	1.97403e+19
96	3.19404e+19
97	5.16807e+19
98	8.36211e+19
99	1.35302e+20
100	2.18923e+20
