n	𝜙(n)
	Golden ratio
-	-	
1	1.000000000
2	2.000000000
3	1.500000000
4	1.666666627
5	1.600000024
6	1.625000000
7	1.615384579
8	1.619047642
9	1.617647052
10	1.618181825
11	1.617977500
12	1.618055582
13	1.618025780
14	1.618037105
15	1.618032813
16	1.618034482
17	1.618033767
18	1.618034005
19	1.618034005
20	1.618034005
21	1.618034005
22	1.618034005
23	1.618034005
24	1.618034005
25	1.618034005
26	1.618034005
27	1.618034005
28	1.618034005
29	1.618034005
30	1.618034005
31	1.618034005
32	1.618034005
33	1.618034005
34	1.618034005
35	1.618034005
36	1.618033886
37	1.618034005
38	1.618034005
39	1.618034005
40	1.618033886
41	1.618034005
42	1.618034005
43	1.618033886
44	1.618034005
45	1.618034005
46	1.618034005
47	1.618033886
48	1.618034005
49	1.618034005
50	1.618034005
51	1.618033886
52	1.618034005
53	1.618034005
54	1.618034005
55	1.618034005
56	1.618034005
57	1.618033886
58	1.618034124
59	1.618034005
60	1.618033886
61	1.618034005
62	1.618034005
63	1.618034005
64	1.618034005
65	1.618034005
66	1.618034005
67	1.618033886
68	1.618034005
69	1.618034005
70	1.618033886
71	1.618034005
72	1.618033886
73	1.618034005
74	1.618034005
75	1.618034005
76	1.618033886
77	1.618034005
78	1.618034005
79	1.618034005
80	1.618033886
81	1.618034005
82	1.618034005
83	1.618034005
84	1.618033886
85	1.618034005
86	1.618034005
87	1.618033886
88	1.618034005
89	1.618034005
90	1.618033886
91	1.618034005
92	1.618034005
93	1.618034005
94	1.618033886
95	1.618034005
96	1.618034124
97	1.618034005
98	1.618034005
