n	Σ(1/n^2)
1	1.000000000
2	1.250000000
3	1.361111164
4	1.423611164
5	1.463611126
6	1.491388917
7	1.511797071
8	1.527422071
9	1.539767742
10	1.549767733
11	1.558032155
12	1.564976573
13	1.570893764
14	1.575995803
15	1.580440283
16	1.584346533
17	1.587806702
18	1.590893149
19	1.593663216
20	1.596163273
21	1.598430872
22	1.600497007
23	1.602387309
24	1.604123473
25	1.605723500
26	1.607202768
27	1.608574510
28	1.609850049
29	1.611039162
30	1.612150311
31	1.613190889
32	1.614167452
33	1.615085721
34	1.615950823
35	1.616767168
36	1.617538810
37	1.618269324
38	1.618961811
39	1.619619250
40	1.620244265
41	1.620839119
42	1.621405959
43	1.621946812
44	1.622463346
45	1.622957230
46	1.623429775
47	1.623882413
48	1.624316454
49	1.624732971
50	1.625132918
51	1.625517368
52	1.625887156
53	1.626243114
54	1.626586080
55	1.626916647
56	1.627235532
57	1.627543330
58	1.627840638
59	1.628127933
60	1.628405690
61	1.628674388
62	1.628934503
63	1.629186511
64	1.629430652
65	1.629667282
66	1.629896879
67	1.630119681
68	1.630335927
69	1.630545974
70	1.630750060
71	1.630948424
72	1.631141305
73	1.631328940
74	1.631511569
75	1.631689310
76	1.631862402
77	1.632031083
78	1.632195473
79	1.632355690
80	1.632511973
81	1.632664442
82	1.632813215
83	1.632958412
84	1.633100152
85	1.633238554
86	1.633373737
87	1.633505821
88	1.633634925
89	1.633761168
90	1.633884668
91	1.634005427
92	1.634123564
93	1.634239197
94	1.634352326
95	1.634463072
96	1.634571552
97	1.634677887
98	1.634781957
99	1.634884000
100	1.634984016
101	1.635082006
102	1.635178089
103	1.635272384
104	1.635364890
105	1.635455608
106	1.635544658
107	1.635632038
108	1.635717750
109	1.635801911
110	1.635884523
111	1.635965705
112	1.636045456
113	1.636123776
114	1.636200666
115	1.636276245
116	1.636350513
117	1.636423588
118	1.636495352
119	1.636565924
120	1.636635423
121	1.636703730
122	1.636770964
123	1.636837006
124	1.636902094
125	1.636966109
126	1.637029052
127	1.637091041
128	1.637152076
129	1.637212157
130	1.637271285
131	1.637329578
132	1.637386918
133	1.637443423
134	1.637499094
135	1.637553930
136	1.637608051
137	1.637661338
138	1.637713790
139	1.637765527
140	1.637816548
141	1.637866855
142	1.637916446
143	1.637965322
144	1.638013601
145	1.638061166
146	1.638108134
147	1.638154387
148	1.638200045
149	1.638245106
150	1.638289571
151	1.638333440
152	1.638376713
153	1.638419390
154	1.638461590
155	1.638503194
156	1.638544321
157	1.638584852
158	1.638624907
159	1.638664484
160	1.638703585
161	1.638742208
162	1.638780355
163	1.638818026
164	1.638855219
165	1.638891935
166	1.638928175
167	1.638964057
168	1.638999462
169	1.639034510
170	1.639069080
171	1.639103293
172	1.639137149
173	1.639170527
174	1.639203548
175	1.639236212
176	1.639268517
177	1.639300466
178	1.639332056
179	1.639363289
180	1.639394164
181	1.639424682
182	1.639454842
183	1.639484644
184	1.639514208
185	1.639543414
186	1.639572263
187	1.639600873
188	1.639629126
189	1.639657140
190	1.639684796
191	1.639712214
192	1.639739394
193	1.639766216
194	1.639792800
195	1.639819145
196	1.639845133
197	1.639870882
198	1.639896393
199	1.639921665
200	1.639946699
201	1.639971495
202	1.639996052
203	1.640020370
204	1.640044451
205	1.640068293
206	1.640091896
207	1.640115261
208	1.640138388
209	1.640161276
210	1.640183926
211	1.640206337
212	1.640228629
213	1.640250683
214	1.640272498
215	1.640294075
216	1.640315533
217	1.640336752
218	1.640357852
219	1.640378714
220	1.640399337
221	1.640419841
222	1.640440106
223	1.640460253
224	1.640480161
225	1.640499949
226	1.640519500
227	1.640538931
228	1.640558124
229	1.640577197
230	1.640596151
231	1.640614867
232	1.640633464
233	1.640651941
234	1.640670180
235	1.640688300
236	1.640706301
237	1.640724063
238	1.640741706
239	1.640759230
240	1.640776634
241	1.640793800
242	1.640810847
243	1.640827775
244	1.640844584
245	1.640861273
246	1.640877843
247	1.640894175
248	1.640910387
249	1.640926480
250	1.640942454
251	1.640958309
252	1.640974045
253	1.640989661
254	1.641005158
255	1.641020536
256	1.641035795
257	1.641050935
258	1.641065955
259	1.641080856
260	1.641095638
261	1.641110301
262	1.641124845
263	1.641139269
264	1.641153574
265	1.641167760
266	1.641181946
267	1.641196012
268	1.641209960
269	1.641223788
270	1.641237497
271	1.641251087
272	1.641264558
273	1.641278028
274	1.641291380
275	1.641304612
276	1.641317725
277	1.641330719
278	1.641343713
279	1.641356587
280	1.641369343
281	1.641381979
282	1.641394496
283	1.641407013
284	1.641419411
285	1.641431689
286	1.641443968
287	1.641456127
288	1.641468167
289	1.641480088
290	1.641492009
291	1.641503811
292	1.641515493
293	1.641527176
294	1.641538739
295	1.641550183
296	1.641561627
297	1.641572952
298	1.641584158
299	1.641595364
300	1.641606450
301	1.641617537
302	1.641628504
303	1.641639352
304	1.641650200
305	1.641660929
306	1.641671658
307	1.641682267
308	1.641692758
309	1.641703248
310	1.641713619
311	1.641723990
312	1.641734242
313	1.641744494
314	1.641754627
315	1.641764760
316	1.641774774
317	1.641784668
318	1.641794562
319	1.641804338
320	1.641814113
321	1.641823769
322	1.641833425
323	1.641842961
324	1.641852498
325	1.641861916
326	1.641871333
327	1.641880631
328	1.641889930
329	1.641899109
330	1.641908288
331	1.641917467
332	1.641926527
333	1.641935587
334	1.641944528
335	1.641953468
336	1.641962290
337	1.641971111
338	1.641979814
339	1.641988516
340	1.641997218
341	1.642005801
