x	y	z
		bcc_lattice_atom1
		Angstrom
15.7080	-15.7080	-15.7080
18.8496	-12.5664	-18.8496
21.9911	-9.4248	-21.9911
25.1327	-6.2832	-25.1327
28.2743	-3.1416	-28.2743
31.4159	0.0000	-31.4159
18.8496	-18.8496	-12.5664
21.9911	-15.7080	-15.7080
25.1327	-12.5664	-18.8496
28.2743	-9.4248	-21.9911
31.4159	-6.2832	-25.1327
34.5575	-3.1416	-28.2743
21.9911	-21.9911	-9.4248
25.1327	-18.8496	-12.5664
28.2743	-15.7080	-15.7080
31.4159	-12.5664	-18.8496
34.5575	-9.4248	-21.9911
37.6991	-6.2832	-25.1327
25.1327	-25.1327	-6.2832
28.2743	-21.9911	-9.4248
31.4159	-18.8496	-12.5664
34.5575	-15.7080	-15.7080
37.6991	-12.5664	-18.8496
40.8407	-9.4248	-21.9911
28.2743	-28.2743	-3.1416
31.4159	-25.1327	-6.2832
34.5575	-21.9911	-9.4248
37.6991	-18.8496	-12.5664
40.8407	-15.7080	-15.7080
43.9823	-12.5664	-18.8496
31.4159	-31.4159	0.0000
34.5575	-28.2743	-3.1416
37.6991	-25.1327	-6.2832
40.8407	-21.9911	-9.4248
43.9823	-18.8496	-12.5664
47.1239	-15.7080	-15.7080
12.5664	-12.5664	-12.5664
15.7080	-9.4248	-15.7080
18.8496	-6.2832	-18.8496
21.9911	-3.1416	-21.9911
25.1327	0.0000	-25.1327
28.2743	3.1416	-28.2743
15.7080	-15.7080	-9.4248
18.8496	-12.5664	-12.5664
21.9911	-9.4248	-15.7080
25.1327	-6.2832	-18.8496
28.2743	-3.1416	-21.9911
31.4159	0.0000	-25.1327
18.8496	-18.8496	-6.2832
21.9911	-15.7080	-9.4248
25.1327	-12.5664	-12.5664
28.2743	-9.4248	-15.7080
31.4159	-6.2832	-18.8496
34.5575	-3.1416	-21.9911
21.9911	-21.9911	-3.1416
25.1327	-18.8496	-6.2832
28.2743	-15.7080	-9.4248
31.4159	-12.5664	-12.5664
34.5575	-9.4248	-15.7080
37.6991	-6.2832	-18.8496
25.1327	-25.1327	0.0000
28.2743	-21.9911	-3.1416
31.4159	-18.8496	-6.2832
34.5575	-15.7080	-9.4248
37.6991	-12.5664	-12.5664
40.8407	-9.4248	-15.7080
28.2743	-28.2743	3.1416
31.4159	-25.1327	0.0000
34.5575	-21.9911	-3.1416
37.6991	-18.8496	-6.2832
40.8407	-15.7080	-9.4248
43.9823	-12.5664	-12.5664
9.4248	-9.4248	-9.4248
12.5664	-6.2832	-12.5664
15.7080	-3.1416	-15.7080
18.8496	0.0000	-18.8496
21.9911	3.1416	-21.9911
25.1327	6.2832	-25.1327
12.5664	-12.5664	-6.2832
15.7080	-9.4248	-9.4248
18.8496	-6.2832	-12.5664
21.9911	-3.1416	-15.7080
25.1327	0.0000	-18.8496
28.2743	3.1416	-21.9911
15.7080	-15.7080	-3.1416
18.8496	-12.5664	-6.2832
21.9911	-9.4248	-9.4248
25.1327	-6.2832	-12.5664
28.2743	-3.1416	-15.7080
31.4159	0.0000	-18.8496
18.8496	-18.8496	0.0000
21.9911	-15.7080	-3.1416
25.1327	-12.5664	-6.2832
28.2743	-9.4248	-9.4248
31.4159	-6.2832	-12.5664
34.5575	-3.1416	-15.7080
21.9911	-21.9911	3.1416
25.1327	-18.8496	0.0000
28.2743	-15.7080	-3.1416
31.4159	-12.5664	-6.2832
34.5575	-9.4248	-9.4248
37.6991	-6.2832	-12.5664
25.1327	-25.1327	6.2832
28.2743	-21.9911	3.1416
31.4159	-18.8496	0.0000
34.5575	-15.7080	-3.1416
37.6991	-12.5664	-6.2832
40.8407	-9.4248	-9.4248
6.2832	-6.2832	-6.2832
9.4248	-3.1416	-9.4248
12.5664	0.0000	-12.5664
15.7080	3.1416	-15.7080
18.8496	6.2832	-18.8496
21.9911	9.4248	-21.9911
9.4248	-9.4248	-3.1416
12.5664	-6.2832	-6.2832
15.7080	-3.1416	-9.4248
18.8496	0.0000	-12.5664
21.9911	3.1416	-15.7080
25.1327	6.2832	-18.8496
12.5664	-12.5664	0.0000
15.7080	-9.4248	-3.1416
18.8496	-6.2832	-6.2832
21.9911	-3.1416	-9.4248
25.1327	0.0000	-12.5664
28.2743	3.1416	-15.7080
15.7080	-15.7080	3.1416
18.8496	-12.5664	0.0000
21.9911	-9.4248	-3.1416
25.1327	-6.2832	-6.2832
28.2743	-3.1416	-9.4248
31.4159	0.0000	-12.5664
18.8496	-18.8496	6.2832
21.9911	-15.7080	3.1416
25.1327	-12.5664	0.0000
28.2743	-9.4248	-3.1416
31.4159	-6.2832	-6.2832
34.5575	-3.1416	-9.4248
21.9911	-21.9911	9.4248
25.1327	-18.8496	6.2832
28.2743	-15.7080	3.1416
31.4159	-12.5664	0.0000
34.5575	-9.4248	-3.1416
37.6991	-6.2832	-6.2832
3.1416	-3.1416	-3.1416
6.2832	0.0000	-6.2832
9.4248	3.1416	-9.4248
12.5664	6.2832	-12.5664
15.7080	9.4248	-15.7080
18.8496	12.5664	-18.8496
6.2832	-6.2832	0.0000
9.4248	-3.1416	-3.1416
12.5664	0.0000	-6.2832
15.7080	3.1416	-9.4248
18.8496	6.2832	-12.5664
21.9911	9.4248	-15.7080
9.4248	-9.4248	3.1416
12.5664	-6.2832	0.0000
15.7080	-3.1416	-3.1416
18.8496	0.0000	-6.2832
21.9911	3.1416	-9.4248
25.1327	6.2832	-12.5664
12.5664	-12.5664	6.2832
15.7080	-9.4248	3.1416
18.8496	-6.2832	0.0000
21.9911	-3.1416	-3.1416
25.1327	0.0000	-6.2832
28.2743	3.1416	-9.4248
15.7080	-15.7080	9.4248
18.8496	-12.5664	6.2832
21.9911	-9.4248	3.1416
25.1327	-6.2832	0.0000
28.2743	-3.1416	-3.1416
31.4159	0.0000	-6.2832
18.8496	-18.8496	12.5664
21.9911	-15.7080	9.4248
25.1327	-12.5664	6.2832
28.2743	-9.4248	3.1416
31.4159	-6.2832	0.0000
34.5575	-3.1416	-3.1416
0.0000	0.0000	0.0000
3.1416	3.1416	-3.1416
6.2832	6.2832	-6.2832
9.4248	9.4248	-9.4248
12.5664	12.5664	-12.5664
15.7080	15.7080	-15.7080
3.1416	-3.1416	3.1416
6.2832	0.0000	0.0000
9.4248	3.1416	-3.1416
12.5664	6.2832	-6.2832
15.7080	9.4248	-9.4248
18.8496	12.5664	-12.5664
6.2832	-6.2832	6.2832
9.4248	-3.1416	3.1416
12.5664	0.0000	0.0000
15.7080	3.1416	-3.1416
18.8496	6.2832	-6.2832
21.9911	9.4248	-9.4248
9.4248	-9.4248	9.4248
12.5664	-6.2832	6.2832
15.7080	-3.1416	3.1416
18.8496	0.0000	0.0000
21.9911	3.1416	-3.1416
25.1327	6.2832	-6.2832
12.5664	-12.5664	12.5664
15.7080	-9.4248	9.4248
18.8496	-6.2832	6.2832
21.9911	-3.1416	3.1416
25.1327	0.0000	0.0000
28.2743	3.1416	-3.1416
15.7080	-15.7080	15.7080
18.8496	-12.5664	12.5664
