Energy	 Transmission
pHEMA_20%H2O
meV	 
3.000000	0.389971
3.150000	0.381046
3.307500	0.388342
3.472875	0.391890
3.646519	0.392831
3.828845	0.396898
4.020287	0.402321
4.221301	0.406505
4.432366	0.412320
4.653985	0.411817
4.886684	0.417816
5.131018	0.416845
5.387569	0.425059
5.656947	0.426358
5.939795	0.427958
6.236785	0.430535
6.548624	0.436290
6.876055	0.438870
7.219858	0.443340
7.580851	0.450241
7.959893	0.449791
8.357888	0.454350
8.775782	0.454964
9.214571	0.463450
9.675300	0.466822
10.159065	0.465871
10.667018	0.472247
11.200369	0.477003
11.760387	0.480327
12.348407	0.482934
12.965827	0.488589
13.614118	0.491908
14.294824	0.494659
15.009566	0.500661
15.760044	0.503379
16.548046	0.507279
17.375448	0.513258
18.244221	0.516745
19.156432	0.522434
20.114253	0.525876
21.119966	0.529443
22.175964	0.535288
23.284763	0.540499
24.449001	0.545678
25.671451	0.551788
26.955023	0.556817
28.302775	0.564059
29.717913	0.568566
31.203809	0.572675
32.763999	0.577954
34.402199	0.583438
36.122309	0.589459
37.928425	0.593308
39.824846	0.599161
41.816088	0.603734
43.906893	0.609395
46.102237	0.612375
48.407349	0.617263
50.827717	0.621662
53.369103	0.627833
56.037558	0.632198
58.839436	0.635912
61.781407	0.640895
64.870478	0.646068
68.114002	0.650103
71.519702	0.654373
75.095687	0.658958
78.850471	0.663731
82.792995	0.670069
86.932644	0.674110
91.279277	0.677218
95.843240	0.680401
100.635402	0.684703
105.667173	0.690145
110.950531	0.693153
116.498058	0.696434
122.322961	0.702128
128.439109	0.707734
134.861064	0.708208
141.604117	0.710984
148.684323	0.715858
156.118539	0.718258
163.924466	0.719965
172.120690	0.723291
180.726724	0.722677
189.763060	0.727816
199.251213	0.730534
209.213774	0.733490
219.674463	0.734612
230.658186	0.735508
242.191095	0.737561
254.300650	0.739235
267.015682	0.743016
280.366467	0.745895
294.384790	0.748877
309.104029	0.752959
324.559231	0.755119
340.787192	0.759167
357.826552	0.757143
375.717880	0.757026
394.503774	0.762113
414.228962	0.764099
434.940410	0.762382
456.687431	0.759694
479.521802	0.763598
503.497893	0.761158
528.672787	0.767305
555.106426	0.767482
582.861748	0.767939
612.004835	0.765391
642.605077	0.772337
674.735331	0.773283
708.472097	0.767112
743.895702	0.772527
781.090487	0.771087
820.145012	0.771887
861.152262	0.775116
904.209875	0.774051
949.420369	0.771196
996.891388	0.770796
1046.735957	0.771853
1099.072755	0.769582
1154.026393	0.773271
1211.727712	0.771503
1272.314098	0.774770
1335.929803	0.771981
1402.726293	0.772672
1472.862608	0.774350
1546.505738	0.778177
1623.831025	0.777995
1705.022576	0.784382
1790.273705	0.776899
1879.787390	0.778825
1973.776760	0.781651
2072.465598	0.777639
2176.088877	0.780786
2284.893321	0.772545
2399.137987	0.778897
2519.094887	0.774282
2645.049631	0.779571
2777.302113	0.777767
2916.167218	0.786892
3061.975579	0.780450
3215.074358	0.778878
3375.828076	0.782061
3544.619480	0.785498
3721.850454	0.783439
3907.942976	0.778128
4103.340125	0.782853
4308.507132	0.784479
4523.932488	0.780320
4750.129113	0.775891
4987.635568	0.788176
5237.017347	0.783957
5498.868214	0.782617
5773.811625	0.785781
6062.502206	0.781254
6365.627316	0.782125
6683.908682	0.779642
7018.104116	0.776140
7369.009322	0.773306
7737.459788	0.778921
8124.332777	0.780021
8530.549416	0.784980
8957.076887	0.780781
9404.930731	0.784293
9875.177268	0.787913
10368.936131	0.780740
10887.382938	0.784358
11431.752085	0.779316
12003.339689	0.784645
12603.506674	0.790932
13233.682007	0.778922
13895.366108	0.782798
14590.134413	0.784965
15319.641134	0.781346
16085.623190	0.771479
16889.904350	0.783872
17734.399567	0.774621
18621.119546	0.770896
19552.175523	0.776552
20529.784299	0.785447
21556.273514	0.776052
22634.087190	0.783896
23765.791549	0.779734
24954.081127	0.776919
26201.785183	0.774841
27511.874442	0.773297
28887.468164	0.775655
30331.841572	0.780898
31848.433651	0.785101
33440.855334	0.791190
35112.898100	0.780108
36868.543005	0.794883
38711.970156	0.788892
40647.568663	0.782996
42679.947097	0.793016
44813.944451	0.780710
47054.641674	0.784045
49407.373758	0.778936
51877.742445	0.783901
54471.629568	0.786429
57195.211046	0.787910
60054.971598	0.785689
63057.720178	0.786661
66210.606187	0.786038
69521.136497	0.784168
72997.193321	0.790646
76647.052988	0.782818
80479.405637	0.785603
84503.375919	0.787300
88728.544715	0.775531
93164.971950	0.784303
97823.220548	0.792250
102714.381575	0.793854
107850.100654	0.788304
113242.605687	0.788131
118904.735971	0.799933
124849.972770	0.790227
131092.471408	0.807274
137647.094979	0.783483
144529.449728	0.788248
151755.922214	0.770850
159343.718325	0.804392
167310.904241	0.788602
175676.449453	0.782033
184460.271926	0.783545
193683.285522	0.786003
203367.449798	0.796405
213535.822288	0.787104
224212.613402	0.791138
235423.244072	0.791281
247194.406276	0.780487
259554.126590	0.782971
272531.832919	0.801369
286158.424565	0.803191
300466.345794	0.776105
315489.663083	0.797777
331264.146237	0.796059
347827.353549	0.788613
365218.721227	0.777994
383479.657288	0.796738
402653.640152	0.807224
422786.322160	0.798539
443925.638268	0.786266
466121.920181	0.782363
489428.016191	0.802257
513899.417000	0.832812
539594.387850	0.813615
566574.107243	0.803599
594902.812605	0.819584
624647.953235	0.774064
655880.350897	0.802749
688674.368441	0.794806
723108.086864	0.832680
759263.491207	0.770399
797226.665767	0.789638
837087.999055	0.774601
878942.399008	0.831268
922889.518959	0.797047
