Energy	 CrossSection
pHEMA_20%H2O
meV	 barn
3.000000	3.867430
3.150000	3.962523
3.307500	3.884630
3.472875	3.847271
3.646519	3.837426
3.828845	3.795127
4.020287	3.739388
4.221301	3.696897
4.432366	3.638561
4.653985	3.643582
4.886684	3.584180
5.131018	3.593738
5.387569	3.513598
5.656947	3.501067
5.939795	3.485680
6.236785	3.461024
6.548624	3.406496
6.876055	3.382276
7.219858	3.340658
7.580851	3.277221
7.959893	3.281333
8.357888	3.239917
8.775782	3.234370
9.214571	3.158469
9.675300	3.128694
10.159065	3.137069
10.667018	3.081246
11.200369	3.040090
11.760387	3.011570
12.348407	2.989344
12.965827	2.941529
13.614118	2.913725
14.294824	2.890822
15.009566	2.841291
15.760044	2.819055
16.548046	2.787357
17.375448	2.739234
18.244221	2.711425
19.156432	2.666457
20.114253	2.639492
21.119966	2.611724
22.175964	2.566631
23.284763	2.526849
24.449001	2.487682
25.671451	2.441949
26.955023	2.404688
28.302775	2.351619
29.717913	2.318932
31.203809	2.289362
32.763999	2.251673
34.402199	2.212887
36.122309	2.170723
37.928425	2.143993
39.824846	2.103674
41.816088	2.072450
43.906893	2.034118
46.102237	2.014086
48.407349	1.981435
50.827717	1.952273
53.369103	1.911706
56.037558	1.883245
58.839436	1.859188
61.781407	1.827138
64.870478	1.794119
68.114002	1.768549
71.519702	1.741662
75.095687	1.712987
78.850471	1.683342
82.792995	1.644317
86.932644	1.619618
91.279277	1.600727
95.843240	1.581470
100.635402	1.555588
105.667173	1.523071
110.950531	1.505212
116.498058	1.485818
122.322961	1.452378
128.439109	1.419718
134.861064	1.416967
141.604117	1.400897
148.684323	1.372839
156.118539	1.359094
163.924466	1.349349
172.120690	1.330415
180.726724	1.333902
189.763060	1.304802
199.251213	1.289493
209.213774	1.272909
219.674463	1.266632
230.658186	1.261626
242.191095	1.250181
254.300650	1.240868
267.015682	1.219918
280.366467	1.204031
294.384790	1.187645
309.104029	1.165323
324.559231	1.153559
340.787192	1.131602
357.826552	1.142561
375.717880	1.143199
394.503774	1.115692
414.228962	1.105007
434.940410	1.114242
456.687431	1.128747
479.521802	1.107697
503.497893	1.120844
528.672787	1.087811
555.106426	1.086864
582.861748	1.084419
612.004835	1.098065
642.605077	1.060964
674.735331	1.055934
708.472097	1.088842
743.895702	1.059956
781.090487	1.067614
820.145012	1.063357
861.152262	1.046211
904.209875	1.051857
949.420369	1.067035
996.891388	1.069166
1046.735957	1.063536
1099.072755	1.075639
1154.026393	1.056000
1211.727712	1.065398
1272.314098	1.048048
1335.929803	1.062859
1402.726293	1.059185
1472.862608	1.050273
1546.505738	1.030027
1623.831025	1.030986
1705.022576	0.997407
1790.273705	1.036777
1879.787390	1.026607
1973.776760	1.011731
2072.465598	1.032864
2176.088877	1.016280
2284.893321	1.059856
2399.137987	1.026229
2519.094887	1.050633
2645.049631	1.022674
2777.302113	1.032188
2916.167218	0.984288
3061.975579	1.018049
3215.074358	1.026325
3375.828076	1.009576
3544.619480	0.991568
3721.850454	1.002346
3907.942976	1.030286
4103.340125	1.005423
4308.507132	0.996902
4523.932488	1.018731
4750.129113	1.042107
4987.635568	0.977593
5237.017347	0.999636
5498.868214	1.006659
5773.811625	0.990090
6062.502206	1.013816
6365.627316	1.009241
6683.908682	1.022300
7018.104116	1.040793
7369.009322	1.055813
7737.459788	1.026099
8124.332777	1.020304
8530.549416	0.994278
8957.076887	1.016308
9404.930731	0.997875
9875.177268	0.978961
10368.936131	1.016519
10887.382938	0.997535
11431.752085	1.024021
12003.339689	0.996032
12603.506674	0.963253
13233.682007	1.026095
13895.366108	1.005707
14590.134413	0.994354
15319.641134	1.013335
16085.623190	1.065526
16889.904350	1.000078
17734.399567	1.048836
18621.119546	1.068632
19552.175523	1.038612
20529.784299	0.991833
21556.273514	1.041255
22634.087190	0.999953
23765.791549	1.021816
24954.081127	1.036668
26201.785183	1.047668
27511.874442	1.055860
28887.468164	1.043355
30331.841572	1.015692
31848.433651	0.993645
33440.855334	0.961914
35112.898100	1.019849
36868.543005	0.942792
38711.970156	0.973859
40647.568663	1.004670
42679.947097	0.952451
44813.944451	1.016680
47054.641674	0.999170
49407.373758	1.026023
51877.742445	0.999926
54471.629568	0.986702
57195.211046	0.978976
60054.971598	0.990569
63057.720178	0.985493
66210.606187	0.988748
69521.136497	0.998528
72997.193321	0.964742
76647.052988	1.005606
80479.405637	0.991019
84503.375919	0.982157
88728.544715	1.044012
93164.971950	0.997821
97823.220548	0.956417
102714.381575	0.948111
107850.100654	0.976924
113242.605687	0.977825
118904.735971	0.916779
124849.972770	0.966919
131092.471408	0.879262
137647.094979	1.002116
144529.449728	0.977213
151755.922214	1.068878
159343.718325	0.893954
167310.904241	0.975373
175676.449453	1.009723
184460.271926	1.001795
193683.285522	0.988931
203367.449798	0.934936
213535.822288	0.983180
224212.613402	0.962185
235423.244072	0.961443
247194.406276	1.017851
259554.126590	1.004803
272531.832919	0.909415
286158.424565	0.900087
300466.345794	1.040974
315489.663083	0.927866
331264.146237	0.936721
347827.353549	0.975312
365218.721227	1.030989
383479.657288	0.933217
402653.640152	0.879520
422786.322160	0.923944
443925.638268	0.987554
466121.920181	1.007991
489428.016191	0.904866
513899.417000	0.751352
539594.387850	0.847130
566574.107243	0.898002
594902.812605	0.817110
624647.953235	1.051792
655880.350897	0.902346
688674.368441	0.943187
723108.086864	0.752007
759263.491207	1.071281
797226.665767	0.969982
837087.999055	1.048944
878942.399008	0.758975
922889.518959	0.931623
