Energy	 Transmission
pHEMA_30%H2O
meV	 barn
3.000000	4.001379
3.150000	3.950826
3.307500	3.947866
3.472875	3.844406
3.646519	3.908936
3.828845	3.852925
4.020287	3.776789
4.221301	3.773632
4.432366	3.711232
4.653985	3.686876
4.886684	3.621150
5.131018	3.634878
5.387569	3.558706
5.656947	3.504610
5.939795	3.498817
6.236785	3.456742
6.548624	3.434808
6.876055	3.392605
7.219858	3.376070
7.580851	3.344762
7.959893	3.327313
8.357888	3.281040
8.775782	3.252708
9.214571	3.207114
9.675300	3.178927
10.159065	3.152603
10.667018	3.109901
11.200369	3.072316
11.760387	3.036083
12.348407	3.014158
12.965827	2.988023
13.614118	2.944232
14.294824	2.922868
15.009566	2.859886
15.760044	2.846122
16.548046	2.802673
17.375448	2.761255
18.244221	2.733481
19.156432	2.702884
20.114253	2.645320
21.119966	2.620669
22.175964	2.575166
23.284763	2.545705
24.449001	2.493417
25.671451	2.451031
26.955023	2.409940
28.302775	2.375800
29.717913	2.339892
31.203809	2.302788
32.763999	2.253488
34.402199	2.220765
36.122309	2.188959
37.928425	2.151833
39.824846	2.116340
41.816088	2.085895
43.906893	2.046154
46.102237	2.017006
48.407349	1.987218
50.827717	1.955895
53.369103	1.913702
56.037558	1.895882
58.839436	1.857393
61.781407	1.826919
64.870478	1.789674
68.114002	1.778397
71.519702	1.744885
75.095687	1.715902
78.850471	1.692241
82.792995	1.654783
86.932644	1.630252
91.279277	1.606165
95.843240	1.581976
100.635402	1.580588
105.667173	1.547743
110.950531	1.520085
116.498058	1.479060
122.322961	1.465964
128.439109	1.428037
134.861064	1.424408
141.604117	1.413575
148.684323	1.389036
156.118539	1.358048
163.924466	1.364283
172.120690	1.336835
180.726724	1.336494
189.763060	1.319279
199.251213	1.306818
209.213774	1.290263
219.674463	1.280894
230.658186	1.281608
242.191095	1.266007
254.300650	1.241013
267.015682	1.219671
280.366467	1.213689
294.384790	1.204770
309.104029	1.188079
324.559231	1.157157
340.787192	1.134384
357.826552	1.139340
375.717880	1.155314
394.503774	1.153657
414.228962	1.111703
434.940410	1.133887
456.687431	1.115362
479.521802	1.116014
503.497893	1.110934
528.672787	1.088548
555.106426	1.091691
582.861748	1.092543
612.004835	1.093065
642.605077	1.117134
674.735331	1.070920
708.472097	1.068743
743.895702	1.088813
781.090487	1.073400
820.145012	1.066376
861.152262	1.041908
904.209875	1.072577
949.420369	1.070177
996.891388	1.078649
1046.735957	1.073891
1099.072755	1.084194
1154.026393	1.043754
1211.727712	1.075594
1272.314098	1.064615
1335.929803	1.060385
1402.726293	1.038184
1472.862608	1.032014
1546.505738	1.025635
1623.831025	1.035371
1705.022576	1.049773
1790.273705	1.047221
1879.787390	1.028992
1973.776760	1.048451
2072.465598	1.024342
2176.088877	1.018668
2284.893321	1.036117
2399.137987	1.022331
2519.094887	1.017095
2645.049631	1.004242
2777.302113	1.035728
2916.167218	1.001238
3061.975579	1.008930
3215.074358	1.017567
3375.828076	1.022060
3544.619480	0.991848
3721.850454	1.001020
3907.942976	1.040362
4103.340125	0.979217
4308.507132	0.987472
4523.932488	1.014548
4750.129113	1.023246
4987.635568	1.009240
5237.017347	1.008754
5498.868214	1.048654
5773.811625	1.009846
6062.502206	1.020675
6365.627316	1.008163
6683.908682	1.005585
7018.104116	1.025272
7369.009322	1.000778
7737.459788	1.052623
8124.332777	0.997920
8530.549416	1.009750
8957.076887	0.980658
9404.930731	1.005110
9875.177268	1.028440
10368.936131	1.003812
10887.382938	0.974568
11431.752085	1.044726
12003.339689	0.990359
12603.506674	0.995908
13233.682007	0.978954
13895.366108	1.002318
14590.134413	1.006619
15319.641134	0.999693
16085.623190	1.024111
16889.904350	1.000039
17734.399567	0.975916
18621.119546	1.038365
19552.175523	1.017782
20529.784299	1.017998
21556.273514	1.019151
22634.087190	1.028248
23765.791549	0.986184
24954.081127	1.025047
26201.785183	0.995929
27511.874442	0.984696
28887.468164	0.984218
30331.841572	0.997340
31848.433651	0.992406
33440.855334	0.983573
35112.898100	1.011991
36868.543005	0.951909
38711.970156	0.941071
40647.568663	0.966142
42679.947097	1.010415
44813.944451	0.983227
47054.641674	1.046564
49407.373758	1.051411
51877.742445	0.981895
54471.629568	1.040092
57195.211046	1.015790
60054.971598	1.006013
63057.720178	1.006742
66210.606187	0.985573
69521.136497	1.015414
72997.193321	0.961538
76647.052988	1.014245
80479.405637	1.060052
84503.375919	0.945796
88728.544715	1.015234
93164.971950	1.072355
97823.220548	1.017190
102714.381575	0.971735
107850.100654	0.979797
113242.605687	0.950098
118904.735971	0.996506
124849.972770	0.980923
131092.471408	0.910907
137647.094979	0.936555
144529.449728	0.981123
151755.922214	1.135612
159343.718325	0.961374
167310.904241	0.984692
175676.449453	1.011883
184460.271926	0.944488
193683.285522	0.975623
203367.449798	0.952139
213535.822288	0.949805
224212.613402	0.967296
235423.244072	0.926036
247194.406276	0.990261
259554.126590	1.013692
272531.832919	0.890379
286158.424565	0.961623
300466.345794	0.901571
315489.663083	0.951440
331264.146237	0.896154
347827.353549	0.978541
365218.721227	1.003537
383479.657288	0.840673
402653.640152	0.850217
422786.322160	0.859558
443925.638268	0.932781
466121.920181	0.961517
489428.016191	0.907227
513899.417000	0.849613
539594.387850	0.843606
566574.107243	0.933519
594902.812605	0.912169
624647.953235	0.886294
655880.350897	0.867768
688674.368441	0.967270
723108.086864	0.878372
759263.491207	0.993139
797226.665767	0.853668
837087.999055	0.848515
878942.399008	0.819595
922889.518959	0.929633
