V_{DS}	I_D
	V_{GS} = 3.25 V
V	mA	
0.007	0.064
0.0226	0.169
0.0589	0.304
0.0718	0.331
0.1695	0.42
0.229	0.443
0.348	0.471
0.407	0.481
0.625	0.506
0.732	0.515
0.767	0.518
0.972	0.532
1.144	0.541
1.255	0.547
1.323	0.55
2.01	0.576
2.73	0.593
4.24	0.611
6.07	0.62
8.32	0.629
9.19	0.632
10.72	0.637
13.08	0.644
16.63	0.656
20.8	0.67
23.4	0.681
26.6	0.697
28	0.706
30.6	0.725
0.007	0.065
0.1935	0.43
0.264	0.452
0.382	0.476
0.00125	0.106
0.00149	0.123
0.00223	0.169
0.601	0.503
0.825	0.521
1.275	0.547
1.493	0.557
1.914	0.572
2.4	0.576
3.04	0.598
3.42	0.603
4.28	0.61
5.53	0.616
6.6	0.621
7.48	0.625
8.91	0.63
10.29	0.635
11.21	0.639
12.23	0.641
13.38	0.645
14.52	0.649
15.15	0.652
16.55	0.652
18.79	0.663
20.8	0.671
23.9	0.685
26.9	0.7
22.1	0.681
25.3	0.695
29.2	0.72
30.6	0.732
