Date,Day,In,Out,Extra,Daily profit ,Daily profit + extra,Total profit,Total profit + extra
11/04/2021,0,0,0,0,0,0,0,0
12/04/2021,1,45,0,,45,45,45,45
13/04/2021,2,9.75,0,,9.75,9.75,54.75,54.75
14/04/2021,3,34.21,60,,-25.79,-25.79,28.96,28.96
15/04/2021,4,25,0,,25,25,53.96,53.96
16/04/2021,5,0,0,,0,0,53.96,53.96
17/04/2021,6,0,0,,0,0,53.96,53.96
18/04/2021,7,0,20,,-20,-20,33.96,33.96
19/04/2021,8,0,0,,0,0,33.96,33.96
20/04/2021,9,0,0,,0,0,33.96,33.96
21/04/2021,10,0,0,,0,0,33.96,33.96
22/04/2021,11,0,0,,0,0,33.96,33.96
23/04/2021,12,26.24,0,,26.24,26.24,60.2,60.2
24/04/2021,13,0,0,,0,0,60.2,60.2
25/04/2021,14,0,10,,-10,-10,50.2,50.2
26/04/2021,15,0,0,,0,0,50.2,50.2
27/04/2021,16,10,0,,10,10,60.2,60.2
28/04/2021,17,14.31,0,,14.31,14.31,74.51,74.51
29/04/2021,18,30,0,,30,30,104.51,104.51
30/04/2021,19,0,50,,-50,-50,54.51,54.51
01/05/2021,20,0,0,,0,0,54.51,54.51
02/05/2021,21,0,0,,0,0,54.51,54.51
03/05/2021,22,30,0,,30,30,84.51,84.51
04/05/2021,23,0,0,,0,0,84.51,84.51
05/05/2021,24,0,0,,0,0,84.51,84.51
06/05/2021,25,10,0,,10,10,94.51,94.51
07/05/2021,26,0,6.8,,-6.8,-6.8,87.71,87.71
08/05/2021,27,10,0,,10,10,97.71,97.71
09/05/2021,28,0,0,,0,0,97.71,97.71
10/05/2021,29,15,0,,15,15,112.71,112.71
11/05/2021,30,0,10.89,,-10.89,-10.89,101.82,101.82
12/05/2021,31,0,0,,0,0,101.82,101.82
13/05/2021,32,0,0,,0,0,101.82,101.82
14/05/2021,33,5,0,,5,5,106.82,106.82
15/05/2021,34,0,20,20,-20,0,86.82,106.82
16/05/2021,35,0,0,,0,0,86.82,106.82
17/05/2021,36,0,0,,0,0,86.82,106.82
18/05/2021,37,0,0,,0,0,86.82,106.82
19/05/2021,38,20,0,,20,20,106.82,126.82
20/05/2021,39,0,0,,0,0,106.82,126.82
21/05/2021,40,0,0,,0,0,106.82,126.82
22/05/2021,41,5,0,5.3,5,10.3,111.82,137.12
23/05/2021,42,15,0,,15,15,126.82,152.12
24/05/2021,43,10,0,,10,10,136.82,162.12
25/05/2021,44,0,0,,0,0,136.82,162.12
26/05/2021,45,0,0,,0,0,136.82,162.12
27/05/2021,46,0,0,5.00,0,5,136.82,167.12
28/05/2021,47,9.31,50,,-40.69,-40.69,96.13,126.43
