n	Σ(1/n^2)
1	1.000000000
2	1.250000000
3	1.361111111
4	1.423611111
5	1.463611111
6	1.491388889
7	1.511797052
8	1.527422052
9	1.539767731
10	1.549767731
11	1.558032194
12	1.564976638
13	1.570893798
14	1.575995839
15	1.580440283
16	1.584346533
17	1.587806741
18	1.590893161
19	1.593663244
20	1.596163244
21	1.598430818
22	1.600496933
23	1.602387292
24	1.604123404
25	1.605723404
26	1.607202694
27	1.608574436
28	1.609849946
29	1.611039006
30	1.612150118
31	1.613190700
32	1.614167263
33	1.615085536
34	1.615950588
35	1.616766915
36	1.617538520
37	1.618268980
38	1.618961501
39	1.619618963
40	1.620243963
41	1.620838847
42	1.621405740
43	1.621946573
44	1.622463102
45	1.622956929
46	1.623429519
47	1.623882213
48	1.624316240
49	1.624732734
50	1.625132734
51	1.625517201
52	1.625887024
53	1.626243022
54	1.626585958
55	1.626916536
56	1.627235414
57	1.627543201
58	1.627840466
59	1.628127740
60	1.628405518
61	1.628674262
62	1.628934408
63	1.629186361
64	1.629430501
65	1.629667188
66	1.629896756
67	1.630119523
68	1.630335786
69	1.630545826
70	1.630749907
71	1.630948281
72	1.631141182
73	1.631328835
74	1.631511450
75	1.631689227
76	1.631862358
77	1.632031020
78	1.632195386
79	1.632355616
80	1.632511866
81	1.632664282
82	1.632813003
83	1.632958162
84	1.633099885
85	1.633238294
86	1.633373502
87	1.633505620
88	1.633634752
89	1.633760999
90	1.633884456
91	1.634005214
92	1.634123361
93	1.634238982
94	1.634352155
95	1.634462958
96	1.634571465
97	1.634677746
98	1.634781870
99	1.634883900
100	1.634983900
101	1.635081930
102	1.635178047
103	1.635272306
104	1.635364762
105	1.635455465
106	1.635544464
107	1.635631808
108	1.635717542
109	1.635801710
110	1.635884355
111	1.635965517
112	1.636045236
113	1.636123551
114	1.636200498
115	1.636276112
116	1.636350429
117	1.636423480
118	1.636495298
119	1.636565915
120	1.636635359
121	1.636703661
122	1.636770847
123	1.636836945
124	1.636901982
125	1.636965982
126	1.637028970
127	1.637090970
128	1.637152005
129	1.637212097
130	1.637271269
131	1.637329541
132	1.637386933
133	1.637443465
134	1.637499157
135	1.637554027
136	1.637608092
137	1.637661372
138	1.637713882
139	1.637765639
140	1.637816659
141	1.637866958
142	1.637916552
143	1.637965454
144	1.638013679
145	1.638061242
146	1.638108155
147	1.638154432
148	1.638200086
149	1.638245129
150	1.638289573
151	1.638333431
152	1.638376713
153	1.638419432
154	1.638461598
155	1.638503221
156	1.638544312
157	1.638584882
158	1.638624940
159	1.638664495
160	1.638703557
161	1.638742136
162	1.638780240
163	1.638817878
164	1.638855058
165	1.638891789
166	1.638928079
167	1.638963935
168	1.638999366
169	1.639034379
170	1.639068981
171	1.639103180
172	1.639136982
173	1.639170394
174	1.639203424
175	1.639236077
176	1.639268360
177	1.639300279
178	1.639331841
179	1.639363051
180	1.639393915
181	1.639424439
182	1.639454629
183	1.639484489
184	1.639514026
185	1.639543244
186	1.639572149
187	1.639600746
188	1.639629040
189	1.639657034
190	1.639684735
191	1.639712147
192	1.639739273
193	1.639766120
194	1.639792690
195	1.639818988
196	1.639845019
197	1.639870787
198	1.639896294
199	1.639921546
200	1.639946546
201	1.639971298
202	1.639995805
203	1.640020072
204	1.640044101
205	1.640067896
206	1.640091461
207	1.640114799
208	1.640137913
209	1.640160806
210	1.640183482
211	1.640205943
212	1.640228193
213	1.640250235
214	1.640272071
215	1.640293704
216	1.640315137
217	1.640336374
218	1.640357416
219	1.640378266
220	1.640398927
221	1.640419402
222	1.640439692
223	1.640459801
224	1.640479731
225	1.640499484
226	1.640519063
227	1.640538470
228	1.640557706
229	1.640576775
230	1.640595679
231	1.640614419
232	1.640632998
233	1.640651418
234	1.640669681
235	1.640687789
236	1.640705743
237	1.640723547
238	1.640741201
239	1.640758708
240	1.640776069
241	1.640793286
242	1.640810361
243	1.640827296
244	1.640844093
245	1.640860753
246	1.640877277
247	1.640893668
248	1.640909927
249	1.640926056
250	1.640942056
251	1.640957929
252	1.640973676
253	1.640989299
254	1.641004799
255	1.641020178
256	1.641035436
257	1.641050577
258	1.641065600
259	1.641080507
260	1.641095300
261	1.641109980
262	1.641124548
263	1.641139005
264	1.641153353
265	1.641167593
266	1.641181726
267	1.641195753
268	1.641209676
269	1.641223496
270	1.641237213
271	1.641250830
272	1.641264346
273	1.641277764
274	1.641291084
275	1.641304307
276	1.641317434
277	1.641330467
278	1.641343406
279	1.641356253
280	1.641369008
281	1.641381673
282	1.641394248
283	1.641406734
284	1.641419132
285	1.641431443
286	1.641443669
287	1.641455809
288	1.641467866
289	1.641479839
290	1.641491729
291	1.641503538
292	1.641515267
293	1.641526915
294	1.641538484
295	1.641549975
296	1.641561389
297	1.641572725
298	1.641583986
299	1.641595172
300	1.641606283
301	1.641617320
302	1.641628285
303	1.641639177
304	1.641649998
305	1.641660747
306	1.641671427
307	1.641682037
308	1.641692579
309	1.641703052
310	1.641713458
311	1.641723797
312	1.641734070
313	1.641744277
314	1.641754419
315	1.641764497
316	1.641774512
317	1.641784463
318	1.641794352
319	1.641804179
320	1.641813945
321	1.641823649
322	1.641833294
323	1.641842879
324	1.641852405
325	1.641861873
326	1.641871282
327	1.641880634
328	1.641889929
329	1.641899168
330	1.641908351
331	1.641917478
332	1.641926550
333	1.641935568
334	1.641944532
335	1.641953443
336	1.641962301
337	1.641971106
338	1.641979859
339	1.641988561
340	1.641997211
341	1.642005811
