x	f(x)
 	sin^2
0.005000	0.000300
0.015000	0.004200
0.025000	0.011800
0.035000	0.023800
0.045000	0.039400
0.055000	0.058700
0.065000	0.081800
0.075000	0.108700
0.085000	0.138800
0.095000	0.172500
0.105000	0.209300
0.115000	0.249300
0.125000	0.292000
0.135000	0.338300
0.145000	0.386400
0.155000	0.437300
0.165000	0.490300
0.175000	0.545301
0.185000	0.602101
0.195000	0.660501
0.205000	0.720101
0.215000	0.781301
0.225000	0.842901
0.235000	0.905001
0.245000	0.968201
0.255000	1.030901
0.265000	1.093901
0.275000	1.156101
0.285000	1.217601
0.295000	1.279101
0.305000	1.338601
0.315000	1.397101
0.325000	1.454101
0.335000	1.509002
0.345000	1.562602
0.355000	1.613202
0.365000	1.662002
0.375000	1.707902
0.385000	1.750602
0.395000	1.790802
0.405000	1.828302
0.415000	1.861402
0.425000	1.892102
0.435000	1.918902
0.445000	1.941702
0.455000	1.961702
0.465000	1.977402
0.475000	1.988802
0.485000	1.996902
0.495000	2.000602
0.505000	2.000802
0.515000	1.997102
0.525000	1.988802
0.535000	1.977202
0.545000	1.961602
0.555000	1.941902
0.565000	1.919202
0.575000	1.891702
0.585000	1.861902
0.595000	1.827502
0.605000	1.791202
0.615000	1.750702
0.625000	1.707702
0.635000	1.661802
0.645000	1.613402
0.655000	1.562402
0.665000	1.509402
0.675000	1.453801
0.685000	1.397501
0.695000	1.338701
0.705000	1.278901
0.715000	1.217901
0.725000	1.156101
0.735000	1.093701
0.745000	1.031001
0.755000	0.968001
0.765000	0.905301
0.775000	0.842801
0.785000	0.781401
0.795000	0.720201
0.805000	0.660601
0.815000	0.602201
0.825000	0.545201
0.835000	0.490200
0.845000	0.437200
0.855000	0.386600
0.865000	0.338100
0.875000	0.292300
0.885000	0.249300
0.895000	0.209300
0.905000	0.172500
0.915000	0.138800
0.925000	0.108700
0.935000	0.081800
0.945000	0.058700
0.955000	0.039400
0.965000	0.023800
0.975000	0.011800
0.985000	0.004200
