Time	VCH1
µs	mV
0.8	-96.0
0.8	-98.0
0.8	-100.0
0.8	-102.0
1.2	-100.0
1.2	-102.0
1.2	-104.0
1.2	-106.0
1.6	-104.0
1.6	-106.0
1.6	-108.0
1.6	-110.0
2.0	-108.0
2.0	-110.0
2.0	-112.0
2.0	-114.0
2.4	-112.0
2.4	-114.0
2.4	-116.0
2.4	-118.0
2.8	-116.0
2.8	-118.0
2.8	-120.0
2.8	-122.0
2.8	-124.0
3.2	-122.0
3.2	-124.0
3.2	-126.0
3.2	-128.0
3.6	-126.0
3.6	-128.0
3.6	-130.0
4.0	-128.0
4.0	-130.0
4.0	-132.0
4.4	-130.0
4.4	-132.0
4.4	-134.0
4.4	-136.0
4.8	-134.0
4.8	-136.0
4.8	-138.0
4.8	-140.0
5.2	-138.0
5.2	-140.0
5.2	-142.0
5.2	-144.0
5.6	-142.0
5.6	-144.0
5.6	-146.0
5.6	-148.0
6.0	-146.0
6.0	-148.0
6.0	-150.0
6.4	-148.0
6.4	-150.0
6.4	-152.0
6.8	-150.0
6.8	-152.0
6.8	-154.0
6.8	-156.0
7.2	-154.0
7.2	-156.0
7.2	-158.0
7.2	-160.0
7.6	-158.0
7.6	-160.0
7.6	-162.0
7.6	-164.0
8.0	-162.0
8.0	-164.0
8.0	-166.0
8.0	-168.0
8.4	-166.0
8.4	-168.0
8.4	-170.0
8.8	-168.0
8.8	-170.0
8.8	-172.0
8.8	-174.0
9.2	-172.0
9.2	-174.0
9.2	-176.0
9.2	-178.0
9.6	-176.0
9.6	-178.0
9.6	-180.0
10.0	-178.0
10.0	-180.0
10.0	-182.0
10.0	-184.0
10.4	-182.0
10.4	-184.0
10.4	-186.0
10.4	-188.0
10.8	-186.0
10.8	-188.0
10.8	-190.0
10.8	-192.0
11.2	-190.0
11.2	-192.0
11.6	-190.0
11.6	-192.0
12.0	-190.0
12.0	-192.0
12.0	-194.0
12.4	-192.0
12.4	-194.0
12.4	-196.0
12.4	-198.0
12.8	-196.0
12.8	-198.0
12.8	-200.0
12.8	-202.0
13.2	-200.0
13.2	-202.0
13.6	-200.0
13.6	-202.0
14.0	-200.0
14.0	-202.0
14.0	-204.0
14.0	-206.0
14.4	-204.0
14.4	-206.0
14.4	-208.0
14.8	-206.0
14.8	-208.0
15.2	-206.0
15.2	-208.0
15.2	-210.0
15.6	-208.0
15.6	-210.0
15.6	-212.0
16.0	-208.0
16.0	-210.0
16.4	-208.0
16.4	-210.0
16.4	-212.0
16.8	-210.0
16.8	-212.0
16.8	-214.0
17.2	-212.0
17.2	-214.0
17.6	-210.0
17.6	-212.0
17.6	-214.0
18.0	-210.0
18.0	-212.0
18.4	-210.0
18.4	-212.0
18.8	-210.0
18.8	-212.0
19.2	-208.0
19.2	-210.0
19.2	-212.0
19.6	-206.0
19.6	-208.0
19.6	-210.0
20.0	-204.0
20.0	-206.0
20.0	-208.0
20.4	-202.0
20.4	-204.0
20.4	-206.0
20.8	-200.0
20.8	-202.0
20.8	-204.0
21.2	-198.0
21.2	-200.0
21.2	-202.0
21.6	-196.0
21.6	-198.0
21.6	-200.0
22.0	-194.0
22.0	-196.0
22.0	-198.0
22.4	-190.0
22.4	-192.0
22.4	-194.0
22.4	-196.0
